x	y	showSelected1
1	-1	1
1	-1	2
1.5	0.25	2
1	-1	3
1.5	0.25	3
1.25	-0.4375	3
1	-1	4
1.5	0.25	4
1.25	-0.4375	4
1.375	-0.109375	4
1	-1	5
1.5	0.25	5
1.25	-0.4375	5
1.375	-0.109375	5
1.4375	0.06640625	5
