x	y	label	showSelected1
0	-2.3	"a=0
f(a)=-2"	1
1	-1.3	"a=1
f(a)=-1"	2
1	-1.3	"a=1
f(a)=-1"	3
1.25	-0.7375	"a=1.25
f(a)=-0.44"	4
1.375	-0.409375	"a=1.38
f(a)=-0.11"	5
